probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
203757_s_at,CEACAM6,203757_s_at,-5.651420135,8.317369744,-8.420875031,9.79e-07,0.00022129,6.037828362
207092_at,LEP,207092_at,5.37510557,8.486238216,8.170920859,1.38e-06,0.000260995,5.704288837
211657_at,CEACAM6,211657_at,-5.249599677,8.958367325,-9.271196336,3.2e-07,0.000148336,7.113075964
204580_at,MMP12,204580_at,-5.086370619,7.084969834,-5.787065734,5.46e-05,0.001795263,2.082711078
205916_at,S100A7,205916_at,-4.964427404,7.729280691,-3.968133291,0.001500164,0.015691879,-1.212263171
219295_s_at,PCOLCE2,219295_s_at,4.883225648,7.870299443,8.066432678,1.6e-06,0.000276612,5.562409991
228409_at,PLIN4,228409_at,4.695358959,9.102815157,8.410831535,9.93e-07,0.00022191,6.024583881
206243_at,TIMP4,206243_at,4.685122699,7.303441292,9.26131773,3.24e-07,0.000148947,7.101091639
204351_at,S100P,204351_at,-4.681838265,8.995970498,-6.430546313,1.88e-05,0.000973578,3.14194034
214451_at,TFAP2B,214451_at,-4.632992938,8.684403212,-7.87302945,2.1e-06,0.000314602,5.29592092
201890_at,RRM2,201890_at,-4.621364154,7.423585745,-7.63004556,2.98e-06,0.000366178,4.953861764
240304_s_at,TMC5,240304_s_at,-4.615767311,8.594072532,-7.667194879,2.83e-06,0.000360194,5.006687626
217428_s_at,COL10A1,217428_s_at,-4.610971,7.329344564,-18.50929459,5.62e-11,3.07e-06,14.65677535
203548_s_at,LPL,203548_s_at,4.591358231,10.09481254,7.211547477,5.55e-06,0.000498052,4.345333043
219140_s_at,RBP4,219140_s_at,4.573139546,9.070661566,8.806064626,5.84e-07,0.000167315,6.536037039
1552519_at,ACVR1C,1552519_at,4.56721223,8.147050028,9.959948778,1.37e-07,9.11e-05,7.920862103
205913_at,PLIN1,205913_at,4.533920618,10.50639521,8.386579345,1.03e-06,0.00022191,5.99254821
235978_at,FABP4,235978_at,4.500757679,8.652866684,5.999286825,3.81e-05,0.00145825,2.438812344
208383_s_at,PCK1,208383_s_at,4.469509196,6.609525859,8.250554603,1.24e-06,0.00024598,5.811444065
225424_at,GPAM,225424_at,4.451175579,8.972632215,10.38353446,8.28e-08,7.8e-05,8.391583106
226535_at,NA,226535_at,-4.449297537,9.151591318,-5.122714065,0.000174391,0.003740498,0.926168668
237086_at,FOXA1,237086_at,-4.424849504,7.275115374,-9.025699391,4.39e-07,0.000154651,6.81179148
225420_at,GPAM,225420_at,4.40693331,7.781299158,10.0036974,1.3e-07,9.08e-05,7.970372719
1563182_at,ACVR1C,1563182_at,4.383295913,5.535635426,11.37033574,2.74e-08,5.16e-05,9.417160659
213706_at,NA,213706_at,4.346006544,8.761901966,8.405128607,1e-06,0.00022191,6.017057531
219398_at,CIDEC,219398_at,4.332386324,9.495692854,9.168547325,3.65e-07,0.000153216,6.987980127
1553394_a_at,TFAP2B,1553394_a_at,-4.292033567,7.439431633,-8.994681305,4.57e-07,0.000157021,6.773207018
229476_s_at,THRSP,229476_s_at,4.284902044,8.857568449,6.295429059,2.34e-05,0.001096213,2.924613798
221295_at,CIDEA,221295_at,4.267276328,6.977488756,7.442276901,3.93e-06,0.000425456,4.683900161
205941_s_at,COL10A1,205941_s_at,-4.237228267,7.814608814,-14.44237322,1.37e-09,1.68e-05,12.07261112
209875_s_at,SPP1,209875_s_at,-4.235725169,9.590755589,-8.774624656,6.09e-07,0.000170902,6.496075279
220065_at,TNMD,220065_at,4.210945524,5.689845102,8.072456421,1.59e-06,0.000276612,5.570628975
211138_s_at,KMO,211138_s_at,-4.207743002,7.160646759,-6.056550253,3.47e-05,0.00139045,2.533762458
203549_s_at,LPL,203549_s_at,4.1874923,10.44459479,7.632361477,2.97e-06,0.000366178,4.957160588
