,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL
1007_s_at,10.7654298185045,11.1699977183999,11.1441245777482,10.8379251294033,11.4790644776204,11.3826785958151,11.576206940884,11.1952762425545,10.9766398416432,8.46906306122953,10.1253206507128,10.9445602812946,9.00686829942826,9.76339082181099
1053_at,7.16889027673851,7.23034655291682,7.51402932558649,7.12079808519591,7.84477962546849,7.04100239658416,7.95724180131682,7.75886037187749,7.88666338583308,7.02462301443903,6.80541882309694,7.38241908543031,7.02758007343169,7.02191514082376
117_at,7.49070645312262,6.34395146500729,6.19467664961832,6.64213454409185,6.71108640688651,6.2469465517736,6.19740849303649,6.54246830750877,6.94795397308631,6.61772321159245,7.15232964412916,6.11095959140771,6.45808612286479,6.35948987147651
121_at,8.26683487919802,8.56559907366877,8.37654466665374,8.11027634178097,8.19004814893438,8.3068212946972,8.45244132934935,8.57231461905501,8.57793013992118,8.54473320643195,8.64371363482277,8.31677136485061,8.43891842757467,8.30145660980536
1255_g_at,3.86098764178341,3.6953642379463,3.71130596976687,3.69524200347413,3.69140187711647,3.67093134982668,3.62591699789306,3.79215407189518,3.74248765503764,3.52525183577048,3.71625562581048,3.65612418374821,3.64561533464863,3.75693169387302
1294_at,8.16942403730523,7.97596619900611,8.19144263317684,8.1152234585582,8.08159726178411,7.86751895799563,7.98387020812809,7.56865049553601,7.59080908097944,8.22558063871907,8.24716344955396,8.33688043832771,8.40010485597878,8.35901725943662
1316_at,6.14857071798461,6.24006402593526,6.19544812970767,5.97934684235792,6.15031353431814,6.19171876738467,6.28751940506342,6.47246888008827,6.35028486555169,6.30750199024718,6.21511323705297,6.20569135775477,6.28882172411518,6.3609817616039
1320_at,5.30798801300153,5.49472633221986,5.3861499803441,5.61608314477775,5.47012530853424,5.56609396550299,5.30982371689817,5.76247758924825,5.36641338890195,5.75471374900857,5.89923625312245,5.75970812214796,5.7387381742029,6.19979671094491
1405_i_at,8.81291663585081,8.09362845295762,9.82314112475852,8.83946611270876,9.11342006638937,10.272517935297,7.60295320234532,8.54078450884749,7.38124183802814,7.37629888739043,8.0530483089441,9.67371653187421,7.51692480671308,8.16917606658439
1431_at,4.22491950897019,4.22489196679755,4.43945667717851,4.17325813129389,4.00342264139491,4.23926000226634,3.81815390486188,4.12094030166506,3.92836443747782,3.93800164181859,4.10967473519235,4.29873508952952,4.48259636211471,4.11782479495768
1438_at,6.43897391180744,7.74848976684998,7.00568070029563,6.97853962660483,7.67786614076318,6.7722766328818,7.53459354734167,7.84112395115235,9.27595590838382,6.07857023509951,7.01107990133495,8.63335398232888,6.4029556413572,6.56733348169161
1487_at,7.83483780123655,7.53458306278923,7.62292447112347,7.4675419949649,7.54249738695636,7.86387455637385,7.55003511027546,7.58431064145923,7.33680752373802,7.64794817806405,7.71586810044545,7.43437282139018,7.9397366099873,7.81977657982743
1494_f_at,6.1328871787292,6.38980183415858,6.60847498394824,6.12687450545909,6.1289176425079,6.27222849008923,6.31462676171979,6.39201992052415,6.38033483286152,6.36787330410256,6.35677593202963,6.18675154463574,6.70201926186847,6.6719167437101
1552256_a_at,8.47603443298688,8.36006714363887,8.03246362104771,8.36441327824268,7.73293885754169,7.8941325917956,7.7689858732139,7.72847877157589,9.74517720680625,9.50931104139088,9.73930324386938,9.03604865617547,9.77388440674975,10.340784610302
1552257_a_at,8.67245103588684,9.78653037197407,8.68007975580685,8.43030702034141,8.51608360059606,8.63899884523679,8.79172435240174,8.73948018151069,9.23841303072123,7.71568557121928,7.66437960322527,8.31500609407445,8.06535141070379,8.19827483761049
1552258_at,5.03562789660124,5.44391721382243,5.36987419226932,5.00664006945592,5.01427233284878,5.12549244686754,5.10204483567758,5.15513152448886,4.94807232326192,4.81439613972836,4.92220771887356,4.87166345845765,5.19742023817961,5.09967627802094
1552261_at,4.85822179870355,4.87564762401326,4.85941200324159,4.82076420495652,4.51994816771342,4.63040638706711,4.71178713005304,4.69933278603856,4.77402597853748,4.70942546139491,4.70471335970448,4.76059069908989,4.748335275092,4.75551892867976
1552263_at,6.34442718308066,5.80742853344806,5.58410029695014,6.45122464597708,5.94951972380828,6.44080361110947,5.96473592079225,6.18115584307895,6.17429388669301,5.58410029695014,5.79871088545863,5.4570616787052,5.91112019788418,5.76080214682088
1552264_a_at,7.42679175669466,6.89663063376431,6.9905270079851,7.36007231030411,7.26815094480708,7.32351410940442,7.39291167683981,7.22142813606424,7.41193614283705,7.38224448814033,7.39846302423833,7.131093268426,7.32251795695658,6.90350728783649
1552266_at,4.34839513999207,4.48544358448876,4.41092499321238,4.26126162990445,4.01948654975311,4.01679701755412,3.93330467352553,4.34650610440955,4.7939727680797,4.04718319092919,4.21862815134123,4.3819951465267,4.01737744889221,4.20261163540519
1552269_at,4.23565957647074,3.96645074571348,4.08548311779306,3.59914202541934,4.02082414414163,4.04143965614145,4.18398318333116,3.90770523926805,3.84787250916333,3.44432735373177,3.44634427874886,3.55819565928101,3.67436200690542,3.49838457588112
1552271_at,5.51961595345752,5.55218016363459,5.89672189966987,5.52217576323845,6.0167027362434,5.8633335198821,5.83412098738543,5.79176694579911,5.91039257174617,5.21984617631263,5.82128426565547,5.59748213226279,5.5478052365786,5.66661522712677
1552272_a_at,5.65230388545316,5.58370662328252,5.54953157885693,5.57101411921708,5.93489650480803,5.93497805070049,5.46172500800473,5.51329306543626,5.61734824160033,5.52169937970207,5.07486812886771,5.56813744332101,5.2839271626255,5.40223162249728
1552274_at,6.12494157665499,6.40318653510967,5.88325606912752,6.11983430628866,5.70585761638279,5.80274360845394,5.67174757456065,6.02428072670209,6.33327054458614,7.43396121790243,7.08975360378034,6.65762640008217,7.05689274442017,6.16699606362758
1552275_s_at,5.77561295070092,6.44790218640773,5.44965343150985,6.39510595277399,6.04228011559614,5.57710680402595,5.71468602850816,5.82578053115697,6.34153547058563,7.03895098563913,6.81848885492731,5.736218902261,6.88689306689215,5.95674436918418
1552276_a_at,5.72148592275421,5.73135297439893,6.0208000659505,5.72047810825961,5.82911540141983,5.79009861407582,5.85242418719857,5.87831887187221,5.75518879329724,6.1183038558799,5.78840375991373,6.06575145434793,6.0458490895463,6.06365576769115
1552277_a_at,7.51812997992813,7.65434942956338,7.42688768937812,7.7186747357497,7.52959051835452,6.92383554044911,7.60346017458375,8.28654094077482,7.1494581572433,7.12636522484666,7.01357120643825,6.71769598320549,6.95479732656022,7.0917307265889
1552278_a_at,6.15382965336923,5.43560451049252,5.72749599139482,5.79347142637477,5.29567708587941,5.44097521017456,5.97743940575387,6.04379340160168,5.69706857269464,5.5524216037537,5.83451870411666,5.37511070677146,5.64128131821696,5.84594045225273
1552279_a_at,7.2623823298422,7.06895621076999,6.98465469883524,7.32758105047223,6.92786374999158,6.84302685634851,8.01731555850732,7.10481587919612,6.96966617549062,7.25262602670024,7.20761345811903,6.98291983461914,7.2357419675643,7.17461586304207
