probes,Symbols,X,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL
1007_s_at,DDR1,1007_s_at,10.76542982,11.16999772,11.14412458,10.83792513,11.47906448,11.3826786,11.57620694,11.19527624,10.97663984,8.469063061,10.12532065,10.94456028,9.006868299,9.763390822
1053_at,RFC2,1053_at,7.168890277,7.230346553,7.514029326,7.120798085,7.844779625,7.041002397,7.957241801,7.758860372,7.886663386,7.024623014,6.805418823,7.382419085,7.027580073,7.021915141
117_at,HSPA6,117_at,7.490706453,6.343951465,6.19467665,6.642134544,6.711086407,6.246946552,6.197408493,6.542468308,6.947953973,6.617723212,7.152329644,6.110959591,6.458086123,6.359489871
121_at,PAX8,121_at,8.266834879,8.565599074,8.376544667,8.110276342,8.190048149,8.306821295,8.452441329,8.572314619,8.57793014,8.544733206,8.643713635,8.316771365,8.438918428,8.30145661
1255_g_at,GUCA1A,1255_g_at,3.860987642,3.695364238,3.71130597,3.695242003,3.691401877,3.67093135,3.625916998,3.792154072,3.742487655,3.525251836,3.716255626,3.656124184,3.645615335,3.756931694
1294_at,UBA7,1294_at,8.169424037,7.975966199,8.191442633,8.115223459,8.081597262,7.867518958,7.983870208,7.568650496,7.590809081,8.225580639,8.24716345,8.336880438,8.400104856,8.359017259
1316_at,THRA,1316_at,6.148570718,6.240064026,6.19544813,5.979346842,6.150313534,6.191718767,6.287519405,6.47246888,6.350284866,6.30750199,6.215113237,6.205691358,6.288821724,6.360981762
1320_at,PTPN21,1320_at,5.307988013,5.494726332,5.38614998,5.616083145,5.470125309,5.566093966,5.309823717,5.762477589,5.366413389,5.754713749,5.899236253,5.759708122,5.738738174,6.199796711
1405_i_at,CCL5,1405_i_at,8.812916636,8.093628453,9.823141125,8.839466113,9.113420066,10.27251794,7.602953202,8.540784509,7.381241838,7.376298887,8.053048309,9.673716532,7.516924807,8.169176067
1431_at,CYP2E1,1431_at,4.224919509,4.224891967,4.439456677,4.173258131,4.003422641,4.239260002,3.818153905,4.120940302,3.928364437,3.938001642,4.109674735,4.29873509,4.482596362,4.117824795
1438_at,EPHB3,1438_at,6.438973912,7.748489767,7.0056807,6.978539627,7.677866141,6.772276633,7.534593547,7.841123951,9.275955908,6.078570235,7.011079901,8.633353982,6.402955641,6.567333482
1487_at,ESRRA,1487_at,7.834837801,7.534583063,7.622924471,7.467541995,7.542497387,7.863874556,7.55003511,7.584310641,7.336807524,7.647948178,7.7158681,7.434372821,7.93973661,7.81977658
1494_f_at,CYP2A6,1494_f_at,6.132887179,6.389801834,6.608474984,6.126874505,6.128917643,6.27222849,6.314626762,6.392019921,6.380334833,6.367873304,6.356775932,6.186751545,6.702019262,6.671916744
1552256_a_at,SCARB1,1552256_a_at,8.476034433,8.360067144,8.032463621,8.364413278,7.732938858,7.894132592,7.768985873,7.728478772,9.745177207,9.509311041,9.739303244,9.036048656,9.773884407,10.34078461
1552257_a_at,TTLL12,1552257_a_at,8.672451036,9.786530372,8.680079756,8.43030702,8.516083601,8.638998845,8.791724352,8.739480182,9.238413031,7.715685571,7.664379603,8.315006094,8.065351411,8.198274838
1552258_at,NA,1552258_at,5.035627897,5.443917214,5.369874192,5.006640069,5.014272333,5.125492447,5.102044836,5.155131524,4.948072323,4.81439614,4.922207719,4.871663458,5.197420238,5.099676278
1552261_at,WFDC2,1552261_at,4.858221799,4.875647624,4.859412003,4.820764205,4.519948168,4.630406387,4.71178713,4.699332786,4.774025979,4.709425461,4.70471336,4.760590699,4.748335275,4.755518929
1552263_at,MAPK1,1552263_at,6.344427183,5.807428533,5.584100297,6.451224646,5.949519724,6.440803611,5.964735921,6.181155843,6.174293887,5.584100297,5.798710885,5.457061679,5.911120198,5.760802147
1552264_a_at,MAPK1,1552264_a_at,7.426791757,6.896630634,6.990527008,7.36007231,7.268150945,7.323514109,7.392911677,7.221428136,7.411936143,7.382244488,7.398463024,7.131093268,7.322517957,6.903507288
1552266_at,ADAM32,1552266_at,4.34839514,4.485443584,4.410924993,4.26126163,4.01948655,4.016797018,3.933304674,4.346506104,4.793972768,4.047183191,4.218628151,4.381995147,4.017377449,4.202611635
1552269_at,SPATA17,1552269_at,4.235659576,3.966450746,4.085483118,3.599142025,4.020824144,4.041439656,4.183983183,3.907705239,3.847872509,3.444327354,3.446344279,3.558195659,3.674362007,3.498384576
1552271_at,PRR22,1552271_at,5.519615953,5.552180164,5.8967219,5.522175763,6.016702736,5.86333352,5.834120987,5.791766946,5.910392572,5.219846176,5.821284266,5.597482132,5.547805237,5.666615227
1552272_a_at,PRR22,1552272_a_at,5.652303885,5.583706623,5.549531579,5.571014119,5.934896505,5.934978051,5.461725008,5.513293065,5.617348242,5.52169938,5.074868129,5.568137443,5.283927163,5.402231622
1552274_at,PXK,1552274_at,6.124941577,6.403186535,5.883256069,6.119834306,5.705857616,5.802743608,5.671747575,6.024280727,6.333270545,7.433961218,7.089753604,6.6576264,7.056892744,6.166996064
1552275_s_at,PXK,1552275_s_at,5.775612951,6.447902186,5.449653432,6.395105953,6.042280116,5.577106804,5.714686029,5.825780531,6.341535471,7.038950986,6.818488855,5.736218902,6.886893067,5.956744369
1552276_a_at,VPS18,1552276_a_at,5.721485923,5.731352974,6.020800066,5.720478108,5.829115401,5.790098614,5.852424187,5.878318872,5.755188793,6.118303856,5.78840376,6.065751454,6.04584909,6.063655768
1552277_a_at,MSANTD3,1552277_a_at,7.51812998,7.65434943,7.426887689,7.718674736,7.529590518,6.92383554,7.603460175,8.286540941,7.149458157,7.126365225,7.013571206,6.717695983,6.954797327,7.091730727
1552278_a_at,SLC46A1,1552278_a_at,6.153829653,5.43560451,5.727495991,5.793471426,5.295677086,5.44097521,5.977439406,6.043793402,5.697068573,5.552421604,5.834518704,5.375110707,5.641281318,5.845940452
1552279_a_at,SLC46A1,1552279_a_at,7.26238233,7.068956211,6.984654699,7.32758105,6.92786375,6.843026856,8.017315559,7.104815879,6.969666175,7.252626027,7.207613458,6.982919835,7.235741968,7.174615863
1552280_at,TIMD4,1552280_at,4.774287832,4.056757696,4.370417427,4.361069381,4.772577704,4.921163445,3.924779092,4.144494887,4.247320983,4.105872458,5.421856455,3.753998702,5.667664281,3.930022534
1552281_at,SLC39A5,1552281_at,6.976012068,6.819888823,7.005673466,7.005656783,6.942410574,7.094378047,6.980539663,6.962879992,6.839388401,6.793336669,7.063312572,7.013335168,7.09842053,6.869068861
1552283_s_at,NA,1552283_s_at,5.181955874,4.957908941,5.438966396,4.56423442,5.616945225,5.297787952,5.234002308,4.915100945,4.248748031,5.349985444,5.916944298,5.177252278,6.226250285,5.311241331
1552286_at,ATP6V1E2,1552286_at,6.691203529,6.79383981,6.693147866,6.557607225,6.987488345,6.323668754,6.067998871,6.625539954,7.277503374,6.594960161,6.439106153,6.744148947,6.709499047,7.068230584
1552287_s_at,AFG3L1P,1552287_s_at,7.008060554,7.142243429,7.045869158,7.046255475,7.568305819,6.992344468,7.827677638,7.017635751,7.937683189,7.047844372,7.188953533,7.414537594,6.754233953,7.004949495
