Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
CD300LG,10.95171973,10.23172439,9.244065307,10.9267055,11.24187201,6.134067634,6.905700797,7.577968498,7.935546103,5.824680131,6.149482241,5.630977094,7.170936163,7.660033822
ACVR1C,11.75359761,10.68401772,9.306216509,12.1450271,10.89935191,6.180445054,7.074554389,6.601369613,7.428413189,5.813114014,6.777312391,5.128976144,6.119254719,7.449072887
ACACB,9.872913726,8.656760326,8.317922531,10.18742258,8.246245184,7.853104539,7.884964825,8.257445095,8.20408709,7.837014026,8.26279023,7.693486098,8.137131584,8.176069937
ACACB,8.416854898,7.504155168,6.083095309,8.981039054,6.316907473,5.466035942,5.727159538,5.659024537,5.777769069,5.218770971,5.61161462,5.013471146,5.039811775,5.798510825
ANLN,3.769785914,3.931375974,3.721476921,3.852353301,4.146021899,5.015156997,4.724285746,5.331391842,4.755327891,5.903565119,5.371816547,6.020634184,6.309135359,7.438815589
TFAP2B,3.783772545,5.785290579,5.904423617,3.711065367,4.806348928,9.773738679,7.21391738,8.899749158,9.294323298,9.804135628,9.066727386,9.687584199,8.981534465,5.726668593
THRSP,9.622066685,8.528335382,7.178705147,9.232427774,8.828598935,7.017512415,5.611514121,6.442430635,6.002138967,5.346649655,5.913222981,5.305955174,5.675758161,6.761516653
CD300LG,3.884054574,3.795714692,3.689946706,3.910053088,4.380937101,3.361048926,3.427556223,3.55088184,3.704094203,3.628237327,3.723073001,3.571876228,3.672984936,3.59023653
CD300LG,8.396617001,8.262166949,8.28875334,8.257089831,8.403222582,7.966212893,7.821356712,8.193040447,8.113287748,7.997098875,8.185658012,8.13660567,7.974194056,8.177223845
AKR1C1,4.808864111,5.064552774,4.633398272,4.700934176,5.141652733,4.66570246,4.745291028,4.965421316,5.513140329,4.861383945,4.913203472,4.540374046,5.06781377,4.78776832
AKR1C1,5.13399415,4.741786383,5.015687429,4.808363642,4.842666782,4.876116109,4.379974915,5.27355619,5.017199384,4.755259493,5.094178585,4.867750981,4.993767214,4.886348434
