"Symbols","ABHD11","ACACB","ACAP2","ACVR1C","AMMECR1","ANGPT1","ANLN","ARHGAP5","ARMCX4","BCL2L11","BEND7","BNIPL","BTNL9","C5orf22","CADM2","CAPN13","CASKIN1","CCDC69","CD300LF","CD300LG","CDC42SE2","CILP2","COP1","CRYZL1","DDR1","DENND1B","DIP2B","DST","DTD1","FGF1","FOXP2","GIMAP1","GPBAR1","GSC","HDAC9","HOXD4","IGSF3","IL11RA","IRF6","ITIH5","JAK1","JMJD6","JPH2","KBTBD6","KCNE4","KLF11","KLHDC1","KLHDC7B","KNL1","LRRC15","MAPK1","MMEL1","MSANTD3","MSI2","MTBP","NAV3","NEGR1","NEXN","NMNAT2","PARD3B","PDE8A","PROM2","PTK6","PTPN11","PTPN21","PXK","RASEF","RECQL4","RFC2","RHOXF1","RMDN2","RNFT2","RSKR","RUSC1-AS1","SCARB1","SCUBE1","SEC62","SH2D3C","SIGLEC10","SIM1","SLC25A27","SLC9A7","SNHG7","SNX13","SPATA17","STMN1","STOX1","STX6","SVEP1","SYN2","TAF8","TEAD1","TIGD1","TLR4","TNFRSF10A","TNRC6A","TRDN","TRIOBP","TTLL12","ZNF101"
"Healthy_1_S1.CEL",4.601846242,9.900672356,5.709807077,12.10672734,4.308879499,3.044944207,3.998080407,5.65575617,4.46610457,7.891543976,4.025194734,3.831010962,7.458696934,4.998195084,3.859154558,4.156488627,6.792853068,8.580058878,4.854603685,10.78367867,6.376037519,4.934059864,8.028865233,9.37968506,8.409936808,3.613739271,4.203070027,3.138292216,4.476904291,5.592032419,4.688553305,7.564610646,6.282235948,6.004903917,4.08604863,5.935058995,4.923198583,6.183758582,4.410297942,9.062455573,9.362738405,3.765449176,5.893944532,5.216117716,4.332632322,5.403071183,7.475984826,5.351132209,3.206965812,4.833794553,5.483565436,6.824227704,7.055451761,5.048260191,4.465486366,5.899328765,5.506428639,8.437835536,5.421044362,4.988938113,6.988239832,4.638019818,7.157548321,3.812072459,5.803430078,7.481954786,9.274209347,6.504705598,7.062991617,7.077192898,5.444233291,4.195715031,3.712446161,5.98331952,9.511372425,6.137995698,6.800083049,7.767591214,5.223706707,4.024211747,5.257758536,4.586684628,6.049791728,6.313718621,3.434751474,3.771631579,5.196130957,7.453175544,6.859078231,5.183247468,4.933968064,3.990954952,5.431906598,7.014166907,5.753863773,5.278101872,3.266950781,7.256567191,7.743372769,4.866032987
"Healthy_2_S1.CEL",4.010321211,8.680602348,5.466870932,11.08425994,4.48105543,2.828096098,4.18721936,6.233917661,4.795187842,7.890291995,4.097687076,3.931581229,7.151509321,4.973887051,3.549037467,4.165113733,6.764064492,8.529446267,5.549129162,10.10468275,6.38904434,5.381395671,7.999568288,8.578895558,10.08768864,3.853718727,4.654472933,3.218727644,4.674580299,5.615084676,4.630533986,7.566743496,6.390957454,5.924324469,3.923889276,5.828086172,5.044891136,6.350673849,7.184156249,8.202951386,8.95186614,3.802526717,5.784955833,5.619129425,4.572727846,5.071943075,7.054877001,5.374579567,3.405062024,4.660988403,5.668461159,7.148882941,6.94201909,5.12000229,4.319275427,5.753590316,4.48105543,8.621608673,5.063744014,4.898652716,6.76069798,6.885560265,7.495251043,3.750299299,5.854946495,7.077202291,9.310907587,6.499441571,6.852843099,6.372788469,5.209286809,4.010321211,4.364469793,5.886236676,9.723048778,6.491396571,6.694081382,7.287600871,5.414543786,3.882407815,5.36029848,4.424919596,6.293322823,5.987107838,3.437074509,3.726356969,4.505565728,7.54535906,5.962690883,4.292774145,4.645627716,3.967488443,5.774142996,6.928335771,6.009773817,5.189307595,3.728350101,7.305062152,7.668938056,4.897080059
"Healthy_3_S1.CEL",3.899446474,8.315217427,5.600450786,9.607505288,4.176072984,3.133488994,3.925036345,5.787545157,5.147792171,7.776675691,3.859466054,4.220591417,7.018426996,4.928100365,3.788991639,4.150690142,7.173873017,6.70797043,5.177302759,9.113475751,6.562925461,4.882394855,7.535959102,9.485805409,10.92004786,3.648510229,4.886162981,3.082829547,4.705350795,6.540125869,4.35883559,7.076420448,5.524864708,5.849046016,3.883797056,5.618020503,4.707647027,6.261489523,7.443999732,6.400494637,8.628501414,3.659289815,5.99690752,6.299387193,4.186767036,4.659715402,7.173218646,5.564959041,3.220962978,4.340971011,5.331581747,7.085087402,6.65393142,4.788745726,4.101558368,4.51972822,4.204907464,7.132351875,5.068187768,4.74467265,6.007800583,7.811025637,7.433761875,3.953384162,5.685999538,6.640973156,9.782157581,6.854105542,7.456315028,5.991584814,4.875948137,4.059273053,3.977830492,5.795929476,9.032858828,6.069708869,6.389375046,7.487448246,5.547416831,3.945018932,5.913081476,4.683003482,6.36357965,5.528623079,3.509365162,3.792987896,4.212698685,7.341858566,4.760252415,4.559993184,4.54943219,3.667732972,6.552639342,6.321045598,5.985069409,5.151545729,3.136738188,7.399263054,8.344879884,5.429243135
"Healthy_4_S1.CEL",4.227798917,10.21301629,5.689662585,12.47397668,4.412802104,3.042461538,3.994281044,5.323903892,4.784671003,7.752630959,4.569300811,4.367827036,7.137088681,4.582630072,4.018800956,4.091721339,7.188714987,8.905444507,4.862644706,10.75835888,5.651800687,5.363371942,8.104726911,9.183075928,8.960351191,3.579001011,4.450646693,3.13047461,4.560513365,4.603213383,4.391357634,7.931981473,6.473367162,6.397506559,4.685256496,5.457285193,5.011574818,6.117896953,4.10358523,7.966128991,8.94938504,3.783038363,5.797115655,5.49696405,4.059247319,5.307366181,7.22006855,5.53319333,3.224478518,4.447000341,5.752611863,6.591588435,6.88756745,4.965953281,4.029397524,5.796116001,5.776027592,8.10374205,5.14289068,4.95785861,6.653177195,4.275635097,7.481935439,3.753533273,5.703377816,7.135770531,8.511709983,6.625472264,7.075234585,6.465903531,5.224788646,4.416818758,4.080660435,5.449965236,9.891121674,6.787429585,6.72052204,8.099311338,5.089772025,3.811044466,5.711032814,4.719922134,6.431135818,5.257723829,3.668373204,3.799189417,5.432352649,7.289096921,5.839924884,5.263228138,4.569300811,3.522113145,5.368159706,6.89101821,5.347870261,5.346188775,3.016556288,7.559670547,8.176533712,5.003414149
"Healthy_5_S1.CEL",4.278813342,8.252133309,5.272114201,11.20496675,4.281025708,3.090519851,4.397321968,4.690059492,4.406831633,7.546493222,4.319731154,3.867969016,7.412678961,4.723485628,3.737267065,4.252102334,7.144611281,9.21346615,5.465343326,10.9107134,5.311057155,5.424379639,7.669819209,8.985137494,9.714711122,3.853718727,4.405001949,3.215951059,4.748983171,5.722882246,4.531451115,7.361941103,6.756740686,5.895181021,4.181748325,5.187041827,4.758078569,5.867604248,5.881284415,9.166414326,8.075341315,3.802526717,5.771709197,5.799927042,3.959580934,4.859590148,6.582411622,5.711406164,3.401348363,4.452068941,5.600221344,6.944828369,6.964886493,5.280080249,4.389373423,5.68427634,4.058620233,7.926466894,4.982754905,4.555870107,6.173254924,6.486602418,7.549665337,3.737383241,6.105215589,6.217223616,8.199856796,6.831090417,7.101850608,8.07571122,5.130575729,4.306828486,4.273337985,5.73210895,10.39843303,8.071797391,7.001003573,7.221754758,5.414543786,3.913981834,5.130887723,5.003393614,6.404490889,4.827544627,3.452103878,3.748587799,4.913007818,7.732318305,6.380111869,4.93290009,4.548381175,3.53421509,5.747641253,6.9480953,5.340813439,5.022720423,4.073993692,7.257568004,8.166390336,5.040545303
"DCIS_1_S1.CEL",4.145120077,7.822964067,6.77326225,6.503931167,4.217935346,3.009306866,5.211363104,5.151279145,3.705103368,7.723016836,4.097687076,4.707939352,6.129137453,4.74420046,3.813908438,4.579049764,8.150547245,6.263154172,7.370306795,5.985714988,7.826271199,5.567909796,8.594780704,8.415612186,10.73456349,3.788550809,4.783695298,3.016270127,5.045607071,4.600510236,4.092458069,6.829702014,5.54963885,4.850776914,3.915953139,5.024597178,5.049585653,5.810194724,8.137756878,4.778058366,7.877904859,3.862713699,5.8268662,5.704162769,4.792671637,4.734614276,6.358322036,5.715259072,3.619407261,4.443818151,6.27176984,6.9514054,7.427218742,5.6135282,4.282306503,4.178688541,4.056204712,7.260012122,4.65191151,4.639023736,5.80104744,9.674296674,7.899645059,3.71594647,5.3170278,6.154920751,8.821404349,7.384294126,7.216462544,6.00665742,4.910289839,4.214465041,3.98392068,7.129024658,8.470924685,5.713057554,5.910641485,7.235416771,5.134666875,3.678228598,4.820503913,5.634424574,6.402704603,5.23230785,4.126332213,3.672260372,3.933982212,8.28075406,3.781491897,3.80442039,4.427499267,3.201156417,6.472659462,6.830729136,6.514446373,5.346188775,3.042152841,7.323966131,8.644176167,4.95962526
"DCIS_2_S1.CEL",3.817598782,7.956719372,5.48629338,7.362991049,3.863690981,3.127487648,4.716429319,5.35454993,4.966891495,7.899567642,3.664914359,4.535329739,6.012833853,4.723868856,3.813908438,4.563975323,8.140426854,6.155558681,5.630904115,6.378119638,8.013960993,6.343178649,8.43234189,9.050535845,11.13923591,3.657278434,4.826274276,2.872378975,5.22298567,4.843580253,4.188363505,6.386132379,5.547324509,5.225996575,4.016805437,5.228605984,5.35146223,5.773109201,7.738555294,6.471788472,8.200115227,3.712462807,5.30924299,5.41720967,4.982744925,4.841226743,6.627516127,4.965425506,3.39961812,4.774059628,5.690782769,7.769226692,7.588407601,5.816276887,4.225310647,4.448113608,4.686090829,7.342720928,5.163068771,4.52509342,5.959063051,8.607633632,7.536263034,3.639267218,5.445520818,6.380059005,9.298426815,6.732950581,7.289864679,5.668581894,4.79327692,4.002442669,4.480051244,6.58443704,8.378128688,5.906414789,6.06411082,7.020023766,5.126581128,3.728104629,4.999027181,5.396405216,6.404421492,5.385992079,3.902591308,3.885601268,3.625888378,8.008535397,4.000711436,4.251351392,4.25657567,3.423914087,6.523088527,6.56823466,6.182340242,5.266368491,3.361446321,7.350037787,9.822550529,5.195754058
"DCIS_3_S1.CEL",5.105175434,8.223315213,5.828752321,6.911403135,4.48105543,3.009306866,5.458869607,4.884396619,3.735805453,7.885920692,4.295405146,3.939822998,6.391246424,4.856947322,3.910860864,4.442065056,7.695428875,6.069985831,6.301497435,7.084260368,7.006407422,5.437723813,8.177379056,8.069498735,11.10380577,3.897273465,4.953809207,2.887675545,5.019778505,4.845530685,4.250545744,6.655441835,5.567663649,5.11363335,4.008340834,5.862301675,5.131267554,6.019429914,8.065360072,5.032483159,7.99234536,3.858847001,5.690248493,4.730785452,5.351498913,4.8242932,6.02393,5.920803302,3.738460384,4.89271986,5.434350141,8.028012877,7.38257417,5.496311636,4.164196727,4.686725704,4.179131932,6.227625779,4.873470745,4.702411725,5.69457907,9.130651237,7.87908192,4.042695212,5.27789363,5.85350366,8.952524812,6.825698419,7.609174927,5.899405375,5.144821663,4.341886942,4.894811818,6.852757788,8.050030184,6.318631457,5.821730417,6.944414822,5.496311636,3.948485243,4.965747432,5.317322272,6.576584924,5.201542539,4.038849039,3.819386148,4.051828938,7.905173843,4.388425139,4.630997803,4.43553394,3.498228673,6.30520619,6.383012484,6.154484996,5.336783345,3.07941783,7.49633311,8.681523949,5.059866965
"DCIS_4_S1.CEL",3.790437626,8.166413141,5.80736527,7.74020856,4.050014215,2.919827031,4.984456837,5.575565024,3.995369946,7.766169657,4.170865511,4.192454154,6.42565772,4.507562583,3.647678599,4.27977821,7.500809397,6.514613963,6.866326427,7.461340215,7.170294536,6.370732088,8.397112861,8.841481004,10.80904037,3.761170829,4.466077313,3.047319628,5.264590563,4.623359453,4.455689136,6.811217772,5.645612864,5.277393139,3.925929951,5.228605984,5.26979059,5.800771982,6.405687136,5.574276558,8.28109447,3.790437626,5.684970309,5.437723813,4.500193868,4.723626897,6.58636144,6.114607196,3.544537708,4.461326994,6.32194075,7.008141494,7.660325681,5.01820372,4.09921335,5.600569158,3.961847891,7.744445845,4.920378847,4.65530075,6.314634785,7.266632305,7.402139375,3.6887282,5.540756916,6.059249259,9.075879379,6.683975171,7.36631947,5.703370153,4.993540999,4.262597759,4.748040304,5.999783515,8.358273565,6.124335854,6.19937502,7.104023638,5.332750196,4.109011884,5.061984026,5.211241015,6.379623954,5.350924117,3.540365324,3.789098724,3.832727033,7.715303946,4.276869562,3.8951941,4.248980852,3.467489745,6.344918632,6.843044615,5.855727373,5.545525423,3.006204612,7.31334828,8.429812684,5.100777915
"DCIS_5_S1.CEL",5.465669382,7.806545624,6.008500099,6.172104221,4.581350389,3.040125559,5.951710015,5.303747384,3.460024713,7.738295504,3.8951941,3.792166148,5.920575043,5.263590905,3.810672068,4.343831807,7.721237577,6.345257211,6.294867063,5.287613855,8.053819959,5.579211046,8.230450648,8.27596604,11.43819571,3.618645852,5.140788651,2.889603574,5.229789804,4.41301306,4.275185327,6.606202889,5.280090913,5.277393139,3.694998122,5.054800578,5.065815542,5.86097581,9.899511792,4.533046693,8.169219196,3.820499684,5.878476211,5.161055613,4.883536495,4.654345131,5.783661347,6.426647412,3.695617318,4.770630189,5.818417192,8.869911047,7.416174536,6.508868221,4.406757432,4.329457477,3.885592038,6.510833834,4.873470745,4.665286153,5.767378876,8.774886613,7.423302831,3.76991686,5.433024173,5.686256136,9.018170526,7.168520009,7.895699738,5.707981463,4.823624167,4.165837915,4.020039695,6.753504397,7.749823133,5.90844405,5.708618274,7.100616769,5.340808385,3.791988177,4.785710551,5.370052319,6.213698464,5.52791153,3.931715373,3.570751017,4.074327892,7.991163035,3.705712709,3.950041991,4.402287876,3.376908086,6.233253831,6.09335651,6.236140971,5.346188775,3.206378335,7.214018758,8.504896642,5.170163668
