"","Overall"
"SPATA17",100
"ANLN",91.9491525423729
"GIMAP1",80.9322033898305
"DTD1",77.9661016949153
"RUSC1.AS1",75.4237288135593
"ACACB",73.3050847457627
"CDC42SE2",71.6101694915254
"STX6",69.0677966101695
"PDE8A",67.3728813559322
"PARD3B",63.9830508474576
"GSC",63.5593220338983
"JAK1",63.135593220339
"PTK6",60.5932203389831
"PROM2",60.1694915254237
"TAF8",59.3220338983051
"TTLL12",58.8983050847458
"ACVR1C",55.0847457627119
"SLC9A7",54.2372881355932
"IL11RA",52.9661016949153
"CASKIN1",50.8474576271187
"RECQL4",49.5762711864407
"IRF6",45.3389830508475
"ITIH5",45.3389830508475
"KLHDC1",44.4915254237288
"FGF1",43.6440677966102
"CCDC69",43.2203389830509
"MSI2",42.7966101694915
"BTNL9",42.3728813559322
"IGSF3",41.5254237288136
"CD300LG",40.6779661016949
"KNL1",40.6779661016949
"CD300LF",37.7118644067797
"TNFRSF10A",36.4406779661017
"SLC25A27",35.1694915254237
"SVEP1",33.4745762711864
"KCNE4",33.0508474576271
"DDR1",32.6271186440678
"FOXP2",31.3559322033898
"SCUBE1",30.5084745762712
"JPH2",30.0847457627119
"SH2D3C",29.6610169491525
"HOXD4",28.3898305084746
"NMNAT2",27.9661016949153
"COP1",27.5423728813559
"ACAP2",27.1186440677966
"SCARB1",26.6949152542373
"SYN2",25.8474576271187
"PXK",24.5762711864407
"RFC2",24.5762711864407
"PTPN21",24.1525423728814
"CRYZL1",24.1525423728814
"MAPK1",23.728813559322
"CAPN13",22.8813559322034
"SNHG7",22.4576271186441
"ARHGAP5",21.6101694915254
"SEC62",19.0677966101695
"NAV3",18.2203389830509
"RHOXF1",17.7966101694915
"STOX1",17.3728813559322
"MMEL1",16.5254237288136
"GPBAR1",16.1016949152542
"KBTBD6",12.2881355932203
"NEGR1",12.2881355932203
"CILP2",11.4406779661017
"MSANTD3",11.0169491525424
"RMDN2",11.0169491525424
"TIGD1",10.1694915254237
"DST",8.05084745762712
"DIP2B",5.93220338983051
"RSKR",5.93220338983051
"TLR4",5.93220338983051
"BNIPL",5.08474576271187
"KLF11",5.08474576271187
"KLHDC7B",5.08474576271187
"ARMCX4",3.8135593220339
"HDAC9",3.8135593220339
"RNFT2",3.8135593220339
"CADM2",2.11864406779661
"ABHD11",0
"AMMECR1",0
"ANGPT1",0
"BCL2L11",0
"BEND7",0
"C5orf22",0
"DENND1B",0
"JMJD6",0
"LRRC15",0
"MTBP",0
"NEXN",0
"PTPN11",0
"RASEF",0
"SIGLEC10",0
"SIM1",0
"SNX13",0
"STMN1",0
"TEAD1",0
"TNRC6A",0
"TRDN",0
"TRIOBP",0
"ZNF101",0
